"X","County","Implemented","Year","value","Status","geometry"
123,"Destin",2004,1994,55.1445,"N",c(-86.495781, 30.393534)
128,"Pinelals County",2004,1994,63,"N",c(-82.74, 27.9)
134,"Santa Rosa",2005,1994,6.586,"N",c(-86.2288322, 30.3960324)
139,"Bay County",2002,1995,55.816,"N",c(-85.63, 30.24)
140,"Meixco Beach",2001,1995,21.482,"N",c(-85.406361, 29.941336)
143,"Deerfield Beach",2000,1995,63,"N",c(-80.088615, 26.329422)
144,"Fort Lauderdale",2003,1995,63,"N",c(-80.137314, 26.12243)
145,"Hallandale Beach",2001,1995,63,"N",c(-80.146024, 25.986719)
148,"Lauderdale By the Sea",2002,1995,62.86,"N",c(-80.09643, 26.19203)
151,"Jacksonville beach",2000,1995,63,"N",c(-81.655647, 30.332184)
154,"Flagler COunty",2001,1995,3.88,"N",c(-81.3, 29.47)
156,"GUlf COunty",2001,1995,0.321,"N",c(-85.24, 29.9)
157,"Bonita SPrings",2001,1995,62.188,"N",c(-81.7787, 26.33981)
159,"Anna Maria Island",2003,1995,51.86,"N",c(-82.719, 27.513)
169,"Destin",2004,1995,60.198,"N",c(-86.495781, 30.393534)
174,"Pinelals County",2004,1995,63,"N",c(-82.74, 27.9)
180,"Santa Rosa",2005,1995,8.264,"N",c(-86.2288322, 30.3960324)
185,"Bay County",2002,1996,55.204,"N",c(-85.63, 30.24)
186,"Meixco Beach",2001,1996,22.113,"N",c(-85.406361, 29.941336)
189,"Deerfield Beach",2000,1996,62.791,"N",c(-80.088615, 26.329422)
190,"Fort Lauderdale",2003,1996,63,"N",c(-80.137314, 26.12243)
191,"Hallandale Beach",2001,1996,63,"N",c(-80.146024, 25.986719)
194,"Lauderdale By the Sea",2002,1996,62.68,"N",c(-80.09643, 26.19203)
197,"Jacksonville beach",2000,1996,63,"N",c(-81.655647, 30.332184)
200,"Flagler COunty",2001,1996,2.578,"N",c(-81.3, 29.47)
202,"GUlf COunty",2001,1996,0.692,"N",c(-85.24, 29.9)
203,"Bonita SPrings",2001,1996,62.563,"N",c(-81.7787, 26.33981)
205,"Anna Maria Island",2003,1996,52.04,"N",c(-82.719, 27.513)
215,"Destin",2004,1996,60.378,"N",c(-86.495781, 30.393534)
220,"Pinelals County",2004,1996,63,"N",c(-82.74, 27.9)
226,"Santa Rosa",2005,1996,10.981,"N",c(-86.2288322, 30.3960324)
231,"Bay County",2002,1997,56.2805,"N",c(-85.63, 30.24)
232,"Meixco Beach",2001,1997,23.6415,"N",c(-85.406361, 29.941336)
235,"Deerfield Beach",2000,1997,63,"N",c(-80.088615, 26.329422)
236,"Fort Lauderdale",2003,1997,63,"N",c(-80.137314, 26.12243)
237,"Hallandale Beach",2001,1997,62.9285,"N",c(-80.146024, 25.986719)
240,"Lauderdale By the Sea",2002,1997,62.6715,"N",c(-80.09643, 26.19203)
243,"Jacksonville beach",2000,1997,63,"N",c(-81.655647, 30.332184)
246,"Flagler COunty",2001,1997,4.017,"N",c(-81.3, 29.47)
248,"GUlf COunty",2001,1997,1.2545,"N",c(-85.24, 29.9)
249,"Bonita SPrings",2001,1997,62.2085,"N",c(-81.7787, 26.33981)
251,"Anna Maria Island",2003,1997,45.8955,"N",c(-82.719, 27.513)
261,"Destin",2004,1997,60.398,"N",c(-86.495781, 30.393534)
266,"Pinelals County",2004,1997,63,"N",c(-82.74, 27.9)
272,"Santa Rosa",2005,1997,10.0645,"N",c(-86.2288322, 30.3960324)
277,"Bay County",2002,1998,61.9225,"N",c(-85.63, 30.24)
278,"Meixco Beach",2001,1998,22.9205,"N",c(-85.406361, 29.941336)
281,"Deerfield Beach",2000,1998,63,"N",c(-80.088615, 26.329422)
282,"Fort Lauderdale",2003,1998,63,"N",c(-80.137314, 26.12243)
283,"Hallandale Beach",2001,1998,63,"N",c(-80.146024, 25.986719)
286,"Lauderdale By the Sea",2002,1998,62.898,"N",c(-80.09643, 26.19203)
289,"Jacksonville beach",2000,1998,63,"N",c(-81.655647, 30.332184)
292,"Flagler COunty",2001,1998,2.0215,"N",c(-81.3, 29.47)
294,"GUlf COunty",2001,1998,0.403,"N",c(-85.24, 29.9)
295,"Bonita SPrings",2001,1998,62.422,"N",c(-81.7787, 26.33981)
297,"Anna Maria Island",2003,1998,49.734,"N",c(-82.719, 27.513)
307,"Destin",2004,1998,58.673,"N",c(-86.495781, 30.393534)
312,"Pinelals County",2004,1998,63,"N",c(-82.74, 27.9)
318,"Santa Rosa",2005,1998,14.0975,"N",c(-86.2288322, 30.3960324)
323,"Bay County",2002,1999,60.9565,"N",c(-85.63, 30.24)
324,"Meixco Beach",2001,1999,24.896,"N",c(-85.406361, 29.941336)
327,"Deerfield Beach",2000,1999,63,"N",c(-80.088615, 26.329422)
328,"Fort Lauderdale",2003,1999,63,"N",c(-80.137314, 26.12243)
329,"Hallandale Beach",2001,1999,63,"N",c(-80.146024, 25.986719)
332,"Lauderdale By the Sea",2002,1999,62.6155,"N",c(-80.09643, 26.19203)
335,"Jacksonville beach",2000,1999,63,"N",c(-81.655647, 30.332184)
338,"Flagler COunty",2001,1999,1.5235,"N",c(-81.3, 29.47)
340,"GUlf COunty",2001,1999,0,"N",c(-85.24, 29.9)
341,"Bonita SPrings",2001,1999,62.35,"N",c(-81.7787, 26.33981)
343,"Anna Maria Island",2003,1999,49.625,"N",c(-82.719, 27.513)
353,"Destin",2004,1999,59.4755,"N",c(-86.495781, 30.393534)
358,"Pinelals County",2004,1999,63,"N",c(-82.74, 27.9)
364,"Santa Rosa",2005,1999,17.0895,"N",c(-86.2288322, 30.3960324)
369,"Bay County",2002,2000,60.598,"N",c(-85.63, 30.24)
370,"Meixco Beach",2001,2000,20.856,"N",c(-85.406361, 29.941336)
373,"Deerfield Beach",2000,2000,62.7965,"N",c(-80.088615, 26.329422)
374,"Fort Lauderdale",2003,2000,63,"N",c(-80.137314, 26.12243)
375,"Hallandale Beach",2001,2000,63,"N",c(-80.146024, 25.986719)
378,"Lauderdale By the Sea",2002,2000,60.9445,"N",c(-80.09643, 26.19203)
381,"Jacksonville beach",2000,2000,62.9185,"N",c(-81.655647, 30.332184)
384,"Flagler COunty",2001,2000,2.783,"N",c(-81.3, 29.47)
386,"GUlf COunty",2001,2000,0.1205,"N",c(-85.24, 29.9)
387,"Bonita SPrings",2001,2000,60.5635,"N",c(-81.7787, 26.33981)
389,"Anna Maria Island",2003,2000,48.593,"N",c(-82.719, 27.513)
399,"Destin",2004,2000,56.8475,"N",c(-86.495781, 30.393534)
404,"Pinelals County",2004,2000,63,"N",c(-82.74, 27.9)
410,"Santa Rosa",2005,2000,15.305,"N",c(-86.2288322, 30.3960324)
415,"Bay County",2002,2001,60.8275,"N",c(-85.63, 30.24)
416,"Meixco Beach",2001,2001,20.2765,"N",c(-85.406361, 29.941336)
419,"Deerfield Beach",2000,2001,62.502,"Y",c(-80.088615, 26.329422)
420,"Fort Lauderdale",2003,2001,63,"N",c(-80.137314, 26.12243)
421,"Hallandale Beach",2001,2001,63,"N",c(-80.146024, 25.986719)
424,"Lauderdale By the Sea",2002,2001,62.555,"N",c(-80.09643, 26.19203)
427,"Jacksonville beach",2000,2001,63,"Y",c(-81.655647, 30.332184)
430,"Flagler COunty",2001,2001,2.8465,"N",c(-81.3, 29.47)
432,"GUlf COunty",2001,2001,0,"N",c(-85.24, 29.9)
433,"Bonita SPrings",2001,2001,62.599,"N",c(-81.7787, 26.33981)
435,"Anna Maria Island",2003,2001,50.934,"N",c(-82.719, 27.513)
445,"Destin",2004,2001,54.4675,"N",c(-86.495781, 30.393534)
450,"Pinelals County",2004,2001,63,"N",c(-82.74, 27.9)
456,"Santa Rosa",2005,2001,16.1405,"N",c(-86.2288322, 30.3960324)
461,"Bay County",2002,2002,58.8515,"N",c(-85.63, 30.24)
462,"Meixco Beach",2001,2002,19.933,"Y",c(-85.406361, 29.941336)
465,"Deerfield Beach",2000,2002,62.6455,"Y",c(-80.088615, 26.329422)
466,"Fort Lauderdale",2003,2002,62.98,"N",c(-80.137314, 26.12243)
467,"Hallandale Beach",2001,2002,62.837,"Y",c(-80.146024, 25.986719)
470,"Lauderdale By the Sea",2002,2002,62.4175,"N",c(-80.09643, 26.19203)
473,"Jacksonville beach",2000,2002,63,"Y",c(-81.655647, 30.332184)
476,"Flagler COunty",2001,2002,1.5355,"Y",c(-81.3, 29.47)
478,"GUlf COunty",2001,2002,0.144,"Y",c(-85.24, 29.9)
479,"Bonita SPrings",2001,2002,62.631,"Y",c(-81.7787, 26.33981)
481,"Anna Maria Island",2003,2002,49.714,"N",c(-82.719, 27.513)
491,"Destin",2004,2002,56.463,"N",c(-86.495781, 30.393534)
496,"Pinelals County",2004,2002,62.821,"N",c(-82.74, 27.9)
502,"Santa Rosa",2005,2002,16.7215,"N",c(-86.2288322, 30.3960324)
507,"Bay County",2002,2003,60.925,"Y",c(-85.63, 30.24)
508,"Meixco Beach",2001,2003,18.4795,"Y",c(-85.406361, 29.941336)
511,"Deerfield Beach",2000,2003,63,"Y",c(-80.088615, 26.329422)
512,"Fort Lauderdale",2003,2003,62.9575,"N",c(-80.137314, 26.12243)
513,"Hallandale Beach",2001,2003,63,"Y",c(-80.146024, 25.986719)
516,"Lauderdale By the Sea",2002,2003,62.547,"Y",c(-80.09643, 26.19203)
519,"Jacksonville beach",2000,2003,62.788,"Y",c(-81.655647, 30.332184)
522,"Flagler COunty",2001,2003,2.6565,"Y",c(-81.3, 29.47)
524,"GUlf COunty",2001,2003,0.746,"Y",c(-85.24, 29.9)
525,"Bonita SPrings",2001,2003,62.455,"Y",c(-81.7787, 26.33981)
527,"Anna Maria Island",2003,2003,44.407,"N",c(-82.719, 27.513)
537,"Destin",2004,2003,59.0825,"N",c(-86.495781, 30.393534)
542,"Pinelals County",2004,2003,62.825,"N",c(-82.74, 27.9)
548,"Santa Rosa",2005,2003,14.1955,"N",c(-86.2288322, 30.3960324)
553,"Bay County",2002,2004,58.1595,"Y",c(-85.63, 30.24)
554,"Meixco Beach",2001,2004,15.8215,"Y",c(-85.406361, 29.941336)
557,"Deerfield Beach",2000,2004,62.7285,"Y",c(-80.088615, 26.329422)
558,"Fort Lauderdale",2003,2004,63,"Y",c(-80.137314, 26.12243)
559,"Hallandale Beach",2001,2004,62.9445,"Y",c(-80.146024, 25.986719)
562,"Lauderdale By the Sea",2002,2004,62.107,"Y",c(-80.09643, 26.19203)
565,"Jacksonville beach",2000,2004,62.508,"Y",c(-81.655647, 30.332184)
568,"Flagler COunty",2001,2004,3.9015,"Y",c(-81.3, 29.47)
570,"GUlf COunty",2001,2004,0.2735,"Y",c(-85.24, 29.9)
571,"Bonita SPrings",2001,2004,62.8585,"Y",c(-81.7787, 26.33981)
573,"Anna Maria Island",2003,2004,40.1875,"Y",c(-82.719, 27.513)
583,"Destin",2004,2004,53.397,"N",c(-86.495781, 30.393534)
588,"Pinelals County",2004,2004,63,"N",c(-82.74, 27.9)
594,"Santa Rosa",2005,2004,13.1615,"N",c(-86.2288322, 30.3960324)
599,"Bay County",2002,2005,58.0155,"Y",c(-85.63, 30.24)
600,"Meixco Beach",2001,2005,13.155,"Y",c(-85.406361, 29.941336)
603,"Deerfield Beach",2000,2005,60.7975,"Y",c(-80.088615, 26.329422)
604,"Fort Lauderdale",2003,2005,62.325,"Y",c(-80.137314, 26.12243)
605,"Hallandale Beach",2001,2005,62.3945,"Y",c(-80.146024, 25.986719)
608,"Lauderdale By the Sea",2002,2005,60.3185,"Y",c(-80.09643, 26.19203)
611,"Jacksonville beach",2000,2005,62.666,"Y",c(-81.655647, 30.332184)
614,"Flagler COunty",2001,2005,2.6215,"Y",c(-81.3, 29.47)
616,"GUlf COunty",2001,2005,0.225,"Y",c(-85.24, 29.9)
617,"Bonita SPrings",2001,2005,62.154,"Y",c(-81.7787, 26.33981)
619,"Anna Maria Island",2003,2005,40.8355,"Y",c(-82.719, 27.513)
629,"Destin",2004,2005,48.9155,"Y",c(-86.495781, 30.393534)
634,"Pinelals County",2004,2005,63,"Y",c(-82.74, 27.9)
640,"Santa Rosa",2005,2005,14.5555,"N",c(-86.2288322, 30.3960324)
645,"Bay County",2002,2006,58.6235,"Y",c(-85.63, 30.24)
646,"Meixco Beach",2001,2006,16.5945,"Y",c(-85.406361, 29.941336)
649,"Deerfield Beach",2000,2006,62.7095,"Y",c(-80.088615, 26.329422)
650,"Fort Lauderdale",2003,2006,62.404,"Y",c(-80.137314, 26.12243)
651,"Hallandale Beach",2001,2006,62.153,"Y",c(-80.146024, 25.986719)
654,"Lauderdale By the Sea",2002,2006,61.0255,"Y",c(-80.09643, 26.19203)
657,"Jacksonville beach",2000,2006,62.918,"Y",c(-81.655647, 30.332184)
660,"Flagler COunty",2001,2006,4.348,"Y",c(-81.3, 29.47)
662,"GUlf COunty",2001,2006,0.0615,"Y",c(-85.24, 29.9)
663,"Bonita SPrings",2001,2006,62.8405,"Y",c(-81.7787, 26.33981)
665,"Anna Maria Island",2003,2006,42.5635,"Y",c(-82.719, 27.513)
675,"Destin",2004,2006,53.366,"Y",c(-86.495781, 30.393534)
680,"Pinelals County",2004,2006,62.9755,"Y",c(-82.74, 27.9)
686,"Santa Rosa",2005,2006,15.944,"Y",c(-86.2288322, 30.3960324)
691,"Bay County",2002,2007,57.3575,"Y",c(-85.63, 30.24)
692,"Meixco Beach",2001,2007,18.374,"Y",c(-85.406361, 29.941336)
695,"Deerfield Beach",2000,2007,62.2085,"Y",c(-80.088615, 26.329422)
696,"Fort Lauderdale",2003,2007,62.5275,"Y",c(-80.137314, 26.12243)
697,"Hallandale Beach",2001,2007,62.894,"Y",c(-80.146024, 25.986719)
700,"Lauderdale By the Sea",2002,2007,60.178,"Y",c(-80.09643, 26.19203)
703,"Jacksonville beach",2000,2007,62.108,"Y",c(-81.655647, 30.332184)
706,"Flagler COunty",2001,2007,3.2445,"Y",c(-81.3, 29.47)
708,"GUlf COunty",2001,2007,0.5895,"Y",c(-85.24, 29.9)
709,"Bonita SPrings",2001,2007,60.843,"Y",c(-81.7787, 26.33981)
711,"Anna Maria Island",2003,2007,40.5665,"Y",c(-82.719, 27.513)
721,"Destin",2004,2007,51.8855,"Y",c(-86.495781, 30.393534)
726,"Pinelals County",2004,2007,63,"Y",c(-82.74, 27.9)
732,"Santa Rosa",2005,2007,17.757,"Y",c(-86.2288322, 30.3960324)
737,"Bay County",2002,2008,61.8725,"Y",c(-85.63, 30.24)
738,"Meixco Beach",2001,2008,19.1025,"Y",c(-85.406361, 29.941336)
741,"Deerfield Beach",2000,2008,62.8015,"Y",c(-80.088615, 26.329422)
742,"Fort Lauderdale",2003,2008,63,"Y",c(-80.137314, 26.12243)
743,"Hallandale Beach",2001,2008,62.9785,"Y",c(-80.146024, 25.986719)
746,"Lauderdale By the Sea",2002,2008,62.4855,"Y",c(-80.09643, 26.19203)
749,"Jacksonville beach",2000,2008,63,"Y",c(-81.655647, 30.332184)
752,"Flagler COunty",2001,2008,2.6375,"Y",c(-81.3, 29.47)
754,"GUlf COunty",2001,2008,0.0655,"Y",c(-85.24, 29.9)
755,"Bonita SPrings",2001,2008,63,"Y",c(-81.7787, 26.33981)
757,"Anna Maria Island",2003,2008,45.6525,"Y",c(-82.719, 27.513)
767,"Destin",2004,2008,51.6265,"Y",c(-86.495781, 30.393534)
772,"Pinelals County",2004,2008,62.9765,"Y",c(-82.74, 27.9)
778,"Santa Rosa",2005,2008,20.487,"Y",c(-86.2288322, 30.3960324)
783,"Bay County",2002,2009,57.2,"Y",c(-85.63, 30.24)
784,"Meixco Beach",2001,2009,18.719,"Y",c(-85.406361, 29.941336)
787,"Deerfield Beach",2000,2009,63,"Y",c(-80.088615, 26.329422)
788,"Fort Lauderdale",2003,2009,61.853,"Y",c(-80.137314, 26.12243)
789,"Hallandale Beach",2001,2009,63,"Y",c(-80.146024, 25.986719)
792,"Lauderdale By the Sea",2002,2009,61.343,"Y",c(-80.09643, 26.19203)
795,"Jacksonville beach",2000,2009,63,"Y",c(-81.655647, 30.332184)
798,"Flagler COunty",2001,2009,8.206,"Y",c(-81.3, 29.47)
800,"GUlf COunty",2001,2009,0,"Y",c(-85.24, 29.9)
801,"Bonita SPrings",2001,2009,63,"Y",c(-81.7787, 26.33981)
803,"Anna Maria Island",2003,2009,39.629,"Y",c(-82.719, 27.513)
813,"Destin",2004,2009,60.731,"Y",c(-86.495781, 30.393534)
818,"Pinelals County",2004,2009,63,"Y",c(-82.74, 27.9)
824,"Santa Rosa",2005,2009,18.692,"Y",c(-86.2288322, 30.3960324)
829,"Bay County",2002,2010,60.769,"Y",c(-85.63, 30.24)
830,"Meixco Beach",2001,2010,24.482,"Y",c(-85.406361, 29.941336)
833,"Deerfield Beach",2000,2010,62.922,"Y",c(-80.088615, 26.329422)
834,"Fort Lauderdale",2003,2010,62.906,"Y",c(-80.137314, 26.12243)
835,"Hallandale Beach",2001,2010,63,"Y",c(-80.146024, 25.986719)
838,"Lauderdale By the Sea",2002,2010,60.318,"Y",c(-80.09643, 26.19203)
841,"Jacksonville beach",2000,2010,62.885,"Y",c(-81.655647, 30.332184)
844,"Flagler COunty",2001,2010,14.502,"Y",c(-81.3, 29.47)
846,"GUlf COunty",2001,2010,0.419,"Y",c(-85.24, 29.9)
847,"Bonita SPrings",2001,2010,63,"Y",c(-81.7787, 26.33981)
849,"Anna Maria Island",2003,2010,54.672,"Y",c(-82.719, 27.513)
859,"Destin",2004,2010,61.234,"Y",c(-86.495781, 30.393534)
864,"Pinelals County",2004,2010,63,"Y",c(-82.74, 27.9)
870,"Santa Rosa",2005,2010,27.492,"Y",c(-86.2288322, 30.3960324)
875,"Bay County",2002,2011,62.596,"Y",c(-85.63, 30.24)
876,"Meixco Beach",2001,2011,21.118,"Y",c(-85.406361, 29.941336)
879,"Deerfield Beach",2000,2011,63,"Y",c(-80.088615, 26.329422)
880,"Fort Lauderdale",2003,2011,63,"Y",c(-80.137314, 26.12243)
881,"Hallandale Beach",2001,2011,63,"Y",c(-80.146024, 25.986719)
884,"Lauderdale By the Sea",2002,2011,62.871,"Y",c(-80.09643, 26.19203)
887,"Jacksonville beach",2000,2011,63,"Y",c(-81.655647, 30.332184)
890,"Flagler COunty",2001,2011,4.764,"Y",c(-81.3, 29.47)
892,"GUlf COunty",2001,2011,0,"Y",c(-85.24, 29.9)
893,"Bonita SPrings",2001,2011,63,"Y",c(-81.7787, 26.33981)
895,"Anna Maria Island",2003,2011,49.564,"Y",c(-82.719, 27.513)
905,"Destin",2004,2011,59.309,"Y",c(-86.495781, 30.393534)
910,"Pinelals County",2004,2011,63,"Y",c(-82.74, 27.9)
916,"Santa Rosa",2005,2011,19.273,"Y",c(-86.2288322, 30.3960324)
921,"Bay County",2002,2012,62.267,"Y",c(-85.63, 30.24)
922,"Meixco Beach",2001,2012,22.255,"Y",c(-85.406361, 29.941336)
925,"Deerfield Beach",2000,2012,63,"Y",c(-80.088615, 26.329422)
926,"Fort Lauderdale",2003,2012,63,"Y",c(-80.137314, 26.12243)
927,"Hallandale Beach",2001,2012,63,"Y",c(-80.146024, 25.986719)
930,"Lauderdale By the Sea",2002,2012,63,"Y",c(-80.09643, 26.19203)
933,"Jacksonville beach",2000,2012,63,"Y",c(-81.655647, 30.332184)
936,"Flagler COunty",2001,2012,5.364,"Y",c(-81.3, 29.47)
938,"GUlf COunty",2001,2012,0,"Y",c(-85.24, 29.9)
939,"Bonita SPrings",2001,2012,63,"Y",c(-81.7787, 26.33981)
941,"Anna Maria Island",2003,2012,54.566,"Y",c(-82.719, 27.513)
951,"Destin",2004,2012,62.005,"Y",c(-86.495781, 30.393534)
956,"Pinelals County",2004,2012,63,"Y",c(-82.74, 27.9)
962,"Santa Rosa",2005,2012,20.303,"Y",c(-86.2288322, 30.3960324)
967,"Bay County",2002,2013,59.51,"Y",c(-85.63, 30.24)
968,"Meixco Beach",2001,2013,20.071,"Y",c(-85.406361, 29.941336)
971,"Deerfield Beach",2000,2013,63,"Y",c(-80.088615, 26.329422)
972,"Fort Lauderdale",2003,2013,63,"Y",c(-80.137314, 26.12243)
973,"Hallandale Beach",2001,2013,63,"Y",c(-80.146024, 25.986719)
976,"Lauderdale By the Sea",2002,2013,62.727,"Y",c(-80.09643, 26.19203)
979,"Jacksonville beach",2000,2013,63,"Y",c(-81.655647, 30.332184)
982,"Flagler COunty",2001,2013,8.696,"Y",c(-81.3, 29.47)
984,"GUlf COunty",2001,2013,0,"Y",c(-85.24, 29.9)
985,"Bonita SPrings",2001,2013,62.885,"Y",c(-81.7787, 26.33981)
987,"Anna Maria Island",2003,2013,48.185,"Y",c(-82.719, 27.513)
997,"Destin",2004,2013,56.8,"Y",c(-86.495781, 30.393534)
1002,"Pinelals County",2004,2013,62.623,"Y",c(-82.74, 27.9)
1008,"Santa Rosa",2005,2013,24.576,"Y",c(-86.2288322, 30.3960324)
